name_of_wonder,type_of_wonder,build_in_year
Great Pyramid of Giza                                                                               ,Ancient                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,2560 BC             
Stonehenge                                                                                          ,Medieval                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,2400 BC             
Lighthouse of Alexandria                                                                            ,Ancient                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,280 BC              
Hanging Gardens of Babylon                                                                          ,Ancient                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,600 BC              
Hagia Sophia                                                                                        ,Medieval                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,537  AD             
Colossus of Rhodes                                                                                  ,Ancient                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,292 BC              
Mausoleum at Halicarnassus                                                                          ,Ancient                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , 353 BC             
Statue of Zeus at Olympia                                                                           ,Ancient                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , 466 BC             
Temple of Artemis at Ephesus                                                                        ,Ancient                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , 550 BCE            
Golden Gate Bridge                                                                                  ,Civil                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,1933                
CN Tower                                                                                            ,Civil                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,1973                
Channel Tunnel                                                                                      ,Civil                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,1988                
Delta Works (Zuiderzee Works)                                                                       ,Civil                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,1986                
Panama Canal                                                                                        ,Civil                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,1881                
Empire State Building                                                                               ,Civil                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,1930                
Itaipu Dam                                                                                          ,Civil                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,1971                
Catacombs of Kom el Shoqafa                                                                         ,Medieval                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , 215 AD             
Great Wall of China                                                                                 ,Medieval                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,700 BC              
Colosseum                                                                                           ,Medieval                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,80 AD               
Chichen Itza                                                                                        ,New7Wonders Foundation                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,600 AD              
Leaning Tower of Pisa                                                                               ,Medieval                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,1173                
